23.158.24.0/24,JP,JP-27,Osaka
2602:fa56::/40,JP,JP-27,Osaka
23.159.248.0/24,US,US-CA,Los Angeles
2602:fa3f::/52,US,US-CA,Los Angeles
23.165.200.0/24,DE,DE-SN,Falkenstein
195.245.229.0/24,JP,JP-27,Osaka
